product_id|model|label|description|category_id|brand|image|status
1000256|83574 series|interrupteur à bascule / multipolaire / action momentanée|TYPETriggers<br> ActionMomentary<br> ConnectionsFast-sur<br> Soudure|40302|crouzet|1545131220621-ba5a1c24-1bde-451f-becd-f6803681e20f|DONE
1000257|8421 series|interrupteur de sélection / à bascule / multipolaire|› Starwheel ou modèles de pushwheel<br> Choix de› des codes de sortie avec 10 ou 16 positions de commutation<br> › Rupture-dans le support de panneau avant pour l'installation facile<br> Gamme de› des dimensions normalisées pour adapter la plupart des découpes des panneaux<br> Grands caractères d'affichage de› pour la lecture facile<br> Grâce de changement du sérieux élevé de› aux contacts plaqués par or<br> Longue durée même de›<br> Choix de› de monter des accessoires : rupture-dans des endcaps,<br> entretoises et connecteurs|40303|crouzet|1545131225546-4032a76a-4c30-45a3-95a5-cd9517410a78|DONE
1000258|CARLO GAVAZZI|commutateur rotatif / de sélection / multipolaire / électromécanique|Carlo Gavazzi offre une gamme complète de boutons-poussoirs et voyants lumineux. Nos boutons poussoirs vraiment facile à installer et à utiliser répondent à toutes les exigences des tableautiers et aux fabricants déquipements industriels. Carlo Gavazzi propose également une large sélection de voyants LED offrant une durée de vie des plus de 100.000 heures. En plus d'une vaste sélection de couleurs, il existe différents types de lentilles et de styles, qui les rendent aptes pour la plupart des applications. Nous proposons également des voyants à multi-couleurs ainsi que des avertisseurs clignotants.|40303|CARLO GAVAZZI|1545131230298-66d376e8-6c52-49d7-923e-15132e96b433|DONE
1000259|83452|interrupteur à levier / unipolaire / 2 pôles / IP40|Boutons de TYPEMultiway<br> ActionMomentary<br> ConnectionsSolder|40304|crouzet|1545131235331-d30ccff3-8ff8-4818-834a-0354cf34d7b9|DONE
1000260|83450,83451,83453 series|interrupteur tactile / unipolaire / 2 pôles / action momentanée|TYPESubminiature<br> ActionMomentary<br> ConnectionsSolder|40305|crouzet|1545131239958-0535a1ce-15df-4a18-aaef-89eeaacb9ebd|DONE
1000261|80 series|relais temporisé multifonction / à montage sur rail DIN / pour applications industrielles / ajustable|Fonctions et caractéristiques:<br> <br> Multifonction<br> Monofonction<br> <br> Largeur 17.5mm<br> Six plages de temps, de 0.1s à 24h<br> Multitension<br> Isolement élevé entrée/sortie|40323|finder|1545131246558-91665ae7-5cb6-40c1-88bf-7e19af0f9085|DONE
1000262|81 series|relais temporisé multifonction / à montage sur rail DIN / ajustable|Funzioni e caratteristiche:<br> <br> Multifonction et multitension<br> <br> Largeur 17.5mm<br> Sept fonctions (4 avec commandeinterne et 3 avec commande externe)<br> Six plages de temps, de 0.1s à 10h<br> 1 contact inverseur<br> Montage sur rail 35 mm (EN 60715)|40323|finder|1545131251921-1af9548c-645d-4e49-8ee6-91a7ba3dd637|DONE
1000263|84 series|relais temporisé numérique / multifonction / à montage sur rail DIN / programmable|SMARTimer, minuterie numérique 16A<br> <br> Deux modes 100 (par l'intermédiaire du smartphone avec la communication de NFC ou par l'intermédiaire de la manette)<br> Affichage rétro-éclairé large<br> Multifonctionnel (25 fonctions disponibles sur chaque canal)<br> Unités de temps ; 0,1 secondes, secondes, minutes, heures<br> 1 Co (16 A) + 1 Co (16 A) contacts de sortie|40323|finder|1545131257128-c4b760e2-93c1-4d2f-8224-666f243e0fa0|DONE
1000264|MDA2R10MV2|temporisateur numérique / multifonction / monté en panneau|Grand écran de LED ou d'affichage à cristaux liquides (13,2 millimètres)<br> › Multifonctionnel et simple-fonction<br> Modes de base et anticipés de› de configuration<br> › Multigamme (0,05 s – 9999 h)<br> Multi-tension de› (24-240 V AC/DC)<br> sorties de relais du› 1 ou 2 (changement)<br> Option de mémoire de› dans l'événement d'une coupure dans l'approvisionnement<br> Fonction de serrure de›<br> › En haut ou en bas de la synchronisation<br> Le› DIN a classé (48x48 millimètre) le logement<br> Corps compact de› (63 millimètres de long)<br> L'eau de› et antipoussière (IP66)<br> connexions 8-Pins et 11-Pins de›|40323|crouzet|1545131266616-d9f1856f-6d14-4cfb-a7a5-d285244edfaf|DONE
1000265|Weidmüller|relais temporisé à montage sur rail DIN|Les relais temporisés sont utilisés dans les automatismes pour corriger les problèmes liés à l'augmentation croissante des fréquences d'horloge.<br> Les impulsions courtes sont prolongées pour être reconnues par les cartes d'entrées. <br> Différentes fonctions de temporisation comme la temporisation à la mise sous tension ou à la chute de tension, comme les générateurs d'impulsion et les commutateurs étoile-triangle sont disponibles.|40323|Weidmüller|1545131272689-9bfb307e-0be5-4ca0-a894-0b3f83d87f02|DONE
1000266|CARLO GAVAZZI|minuterie électronique / multifonction / sur rail DIN|Carlo Gavazzi offre une gamme complète de minuterie pour montage en fond ou façade de panneaux. Nombreux boîtiers avec sorties 1 ou 2 relais inverseur. Couvre la quasi totalité des fonctions possibles (temporisation travail, temporisation repos, temporisation au relâchement, clignoteur symétrique ou asymétrique). Les minuteries sont largement utilisées pour les machines de conditionnement, les équipements de Climatisation-Chauffage-Ventilation, les armoires de contrôle et les contrôles de process.|40323|CARLO GAVAZZI|1545131277074-36471482-cfed-43a8-95b2-1d1b4e5ff41a|DONE
1000267|PZVT|temporisateur pneumatique|<br> Racord M5<br> Débit 50 l/min<br> Durée de temporisation<br> 0,2 … 3 s<br> 2 … 30 s<br> 8 … 120 s<br> 20 … 300 s.|40323|festo|1545131281695-8e765f7d-130c-4562-9bc3-01e71dd718a1|DONE
1000268|DL0203, DL0201|relais temporisé à montage sur rail DIN / ajustable|Temporisation réglable de mise en marche et d'arrêt<br> En option avec retard à l’adressage et/ou au retour et impulsions de balayage<br> Protection d'un conteneur contre le trop-plein ou la marche à sec<br> Pour une protection fiable contre l'usure des pompes et des vannes<br> Montage rapide et bref grâce à un boîtier à rail de serrage|40323|IFM|1545131286745-9a66185c-4b48-461f-9e78-ef5ee61b7451|DONE
1000269|11 series|relais crépusculaire sur rail DIN / AC/DC / modulaire|Fonctions et caractéristiques:<br> <br> Relais crépusculaire modulaire<br> <br> 1 contact<br> Largeur 35 mm<br> 230 VAC, disponible aussi en 24VAC/DC<br> Montage sur rail 35 mm (EN 60715)|40324|finder|1545131291334-093165e0-96bf-485a-a2fb-55c74784bbc0|DONE
1000270|HAGER|interrupteur horaire|Interrupteurs horaires électroniques<br> En version analogique ou digitale, les interrupteurs horaires permettent de gérer les application électriques en fonction d’une information horaire, afin d’améliorer le confort et d’économiser l’énergie.|40325|hager|1545131297023-170a2725-b860-43d8-b8c7-3cdf13226766|DONE
1000271|93 series|support de relais|Support bornes à ressort ou bornes à vis pour montage sur rail 35mm (EN60715)|40327|finder|1545131302158-14a1a095-c4a9-4a03-8fb9-7892b841edcb|DONE
1000272|90 series|support de relais électromécanique / pour circuit imprimé|Connexions: pour circuit imprimé, bornes à vis, et montage rail 35 mm (EN 60715)|40327|finder|1545131307417-af48f9f2-e614-4c57-86c8-3c6fc74c07b5|DONE
1000273|92 series|support de relais électromécanique / pour circuit imprimé|Connexions: pour circuit imprimé, bornes à vis, et montage rail 35 mm (EN 60715)|40327|finder|1545131312225-3ae09078-a204-4023-a411-bb39c1561fdb|DONE
1000274|CR0431|support de relais miniature|Pour fonctions de commande simples dans les véhicules et engins mobiles<br> Avec sorties de relais et entrées numériques multifonctions configurables<br> Interfaces CAN puissantes pour de nombreuses applications de communication<br> Librement programmable suivant CEI 61131-3 avec CODESYS<br> Homologation de type E1 de l'office fédéral allemand sur la circulation des véhicules automobiles pour l'emploi dans des conditions sévères|40327|IFM|1545131318946-248d3c33-4e61-42f7-a9ef-12a6dce53ddc|DONE
1000275|788 series|support de relais électromécanique / miniature|Les embases relais série 788 sont particulièrement adaptées aux applications de commutation rencontrées dans lautomation industrielle et des processus. Grâce à la connexion CAGE CLAMP® S pour tout type de conducteur et à un étrier de fixation et de démontage robuste garantissant la protection contre les vibrations, celles-ci sont aussi appropriées pour un montage à proximité de linstallation. Même dans le cas dembases montées tout près les unes des autres, un changement du relais est facile dû à létrier de montage/extraction. Un module relais avec contacts à guidages forcés ainsi quun module relais avec commande manuelle, font partie des nouveaux composants.|40327|wago|1545131324236-2a5f17a8-4e61-4693-b287-29d448ca0e2d|DONE
1000276|MS3320 series|disjoncteur avec actionneur à ressort|Protection électrique pour les plates-formes militaires et civiles<br> MIL Circuit Breakers fonctionnent sans faute en conditions dures, résistantes à la vibration extrême et au choc mécanique excessif dans diverses applications, y compris :<br> <br> Chasseurs<br> Hélicoptère militaire<br> Systèmes de défense sol-air<br> Vehicules dépisté et à roues de terre militaire<br> Lance-missiles<br> Applications navales de bord du navire|40328|crouzet|1545131328868-cd01bf62-085a-4f80-91e1-15e4308c6071|DONE
1000277|EPSITRON® 787-2861 series|disjoncteur numérique / contre les courts-circuits / modulaire / miniature|Les disjoncteurs électroniques à canal unique de nouvelle série d'EPSITRON® sûrement protéger vos consommateurs contre la surintensité et se mettre. La fusion du côté secondaire déclenchera même en cas d'une basse surintensité qui fait partie des conditions d'en 60204, de ce fait permettant pour utiliser un dispositif de base rentable de réseau. Le déclenchement se produit après Mme juste 4 en cas d'un court-circuit dur.|40328|wago|1545131333908-ef0b3efb-4fd7-412e-b837-b9c2548633b4|DONE
1000278|max. 1 600 A # h3 series|disjoncteur magnéto-thermique / modulaire|Disjoncteurs et interrupteurs h3<br> Une gamme jusqu'à 1600 A<br> L'offre de disjoncteurs et d'interrupteurs généraux est composée de disjoncteurs à déclenchement magneto-thermique ou électronique, d'interrupteurs à déclenchement libre et de blocs différentiels pour des intensités jusqu'à 1600 A.<br> <br> Pour le tertiaire et les locaux professionnels<br> La nouvelle gamme d'appareillage de tête h3 boîtiers moulés a été conçue pour apporter des solutions adaptées aux réalités des installations électriques dans les bâtiments tertiaires et locaux professionnels.|40328|hager|1545131338961-8c7a8215-56f6-44f3-9b71-cfd4a32f806a|DONE
1000279|DF22, DF11, DF12 series|disjoncteur modulaire|Les fusibles électroniques 24 V DC surveillent en permanence le circuit secondaire et le désactivent de manière fiable en cas d'erreur. L'utilisation de ces disjoncteurs électroniques permet par exemple la désactivation de circuits à câbles longs en cas de surcharge, où les disjoncteurs mécaniques ne déclenchent pas forcément en cas de faute.<br> Le système est modulaire et est constitué d'un module d'alimentation et de modules de fusible interconnectables. Ils peuvent être ajoutés au module d'alimentation par un simple levier, sans bornes ni shunts. Le montage facile et les exigences minimales en câblage économisent du temps et de l'argent. Dans la version standard, jusqu'à 10 modules de fusible peuvent être raccordés à un module d'alimentation, et jusqu'à 8 dans la variante IO-Link.<br> Les modules de fusible disposent d'une LED qui signalise si le module s'est déclenché, s'il est actif et à quel niveau sa capacité est utilisée. Chaque module est doté de deux voies. Au moyen d'un bouton-poussoir, chaque voie d'un module de fusible peut être individuellement activée et désactivée ou réinitialisée. Dans la version avec IO-Link, les modules peuvent être paramétrés et exploités à distance.|40328|IFM|1545131344354-7c16890f-f221-4f66-8f65-fbc8faf25734|DONE
1000280|7P series|parafoudre de type 1 / de type 2 / de type 3 / à varistance|parafoudres type 2- pour installations monophasée et triphasée en 230/400V- type 3- monophasé pour installations 230V. Parafoudres type 2 pour applications photovoltaïques (420 à 1000V)|40331|finder|1545131350293-bce80fab-8077-4627-8a9a-82baa5e91847|DONE
1000806|Downflo® WorkStations|dépoussiéreur à cartouche / décolmatage à jet pulsé / modulaire|Les postes de travail de Downflo® (DWS) s'adaptent n'importe où sur le plancher d'usine et ne s'appliquent AUCUNE restriction aux mouvements ouvriers ou à la visibilité. L'en trait plein des postes de travail est conçu spécifiquement pour ces secteurs en usine où les opérations sales et/ou bruyantes sont dans l'ouvert-meulage, le ponçage, l'ébrèchement, le groupe se mélangeant ou soudant.<br> Les avantages du poste de travail de Downflo sont trouvés dans la conception exclusive et les composants de propriété industrielle du collecteur. Comportant une conception ledgeless en combination avec la technologie de propriété industrielle de médias de filtrage d'Ultra-Web® et de nettoyage d'ExtraLife™, le DWS fournit la représentation exceptionnelle dans le travail des métaux, le travail du bois, et les applications de processus où l'efficacité élevée de filtration et la construction ledgeless est souvent une condition.|120104|DONALDSON|1545131172060-603fe097-c832-4791-a9c3-bdc9e76067f2|DONE
1000807|Gold series|dépoussiéreur à cartouche / décolmatage à jet pulsé / modulaire|Les collecteurs de Series® d'or sont idéaux pour différentes applications de rachat de règlement et de produit de contamination et ont une poussière de cartouche et un collecteur incurvés de vapeur qui augmente la productivité tout en nettoyant les lieux de travail de la poussière et des vapeurs nocives.<br> <br> Ce collecteur de poussière est spécifiquement daigné pour des applications pharmaceutiques se composant d'a Sac-Dans le système de changement de sécurité du Sac-Dehors (BIBO) pour la porte d'accès de cartouches et la poussière distribuent le système au-dessous du collecteur. La cabine de série de l'or de Camfil de cabines de GSB (GSB) offre une ventilation élevée de croix-ébauche à la poussière partie de subsistance des répits.<br> <br> Son une application facile à utiliser sans aucuns cabines de GSB, murs, bras de vapeur ou capot de stockage de saleté et peut également exécuter en l'absence des respirateurs. En plus, ces collecteurs de poussière sous vide élevé de série d'or sont idéaux pour les applications jusqu'à 17 en hectogramme ou plus.|120104|Camfil|1545131177778-9352a37f-89bb-4f89-aec6-a6d5b3754bef|DONE
1000808|GDSII|précipitateur électrostatique aspiration centrale|Le paquet de contrat de filtration de GDS peut nettoyer l'air d'admission pour des turbines à gaz, dans des applications en mer et terrestres autour du monde. En outre, les paires de remplisseurs de cartouche peuvent être horizontalement montées dans la maison du filtre et fournir de basses baisses de pression de fonctionnement avec une capacité se tenante de la haute poussière et une efficacité maximum en termes de filtration.<br> <br> La pression et la conception éclatées de la cartouche sont plus efficaces que dans le cas des panneaux carrés, alors que ces produits représentent le choix le plus sûr pour une turbine. Après, la technologie de filtration de nanofiber est disponible pour toutes les tailles des turbines à gaz, du plus grand aux plus petites machines. Les systèmes de prise de multi-visage viennent également avec ou sans des capots de temps et des séparateurs d'humidité.<br> <br> En conclusion, la compatibilité avec n'importe quel système d'admission d'amélioration de représentation, y compris des réfrigérateurs, des refroidisseurs et des systèmes antigivrage, est également intéressant la mention.|120105|DONALDSON|1545131182219-ff6caaee-13a6-45eb-b61c-237f54ef8809|DONE
1000809|CamCleaner 300|purificateur d'air mobile / à filtre HEPA / pour UTA|Cet épurateur d'air est pour des chambres à coucher et de petits lieux de travail avec le secteur de ² de 30 m. Cela fonctionne avec l'alimentation d'énergie de 230 V et équipé d'E11 et de filtre de carbone. Il vient dans les capacités telles que le ³ /h de 80m, le ³ /h de 122m et le ³ /h de 290m avec 42W, 49W et 82W produits respectivement. Il terre-est monté ou type fixé au mur et a une conception d'acier inoxydable. De plus grandes salles peuvent avoir de plus grands épurateurs d'air.|120109|Camfil|1545131186381-b1e37573-8304-4426-aa07-d5b24ac82018|DONE
1000810|Opakfil ES|filtre à air / à sac / en V / écologique|L'ÉNERGIE de Camfil Opakfil fournit la filtration de rendement élevé au consuption d'énergie très basse et au format compact. Opakfil est employé dans n'importe quelles application de climatisation et filtration préparatoire dans les cleanrooms.|120111|Camfil|1545131191052-fbe1427c-c8b3-4bce-9edd-ed85b41723d3|DONE
1000811|Opakfil ES|filtre à air / à sac / en V / écologique|L'ÉNERGIE de Camfil Opakfil fournit la filtration de rendement élevé au consuption d'énergie très basse et au format compact. Opakfil est employé dans n'importe quelles application de climatisation et filtration préparatoire dans les cleanrooms.|120112|Camfil|1545131195550-d3334582-34ef-492a-901c-055d12391ff5|DONE
1000812|PowerCore® SVU series|filtre à air / à cartouche / à sac / d'évent|<br> Solution de filtration par ventilation pour silos plus compacte et intelligente<br> <br> L’unité de décompression de silos ne répond pas seulement aux besoins en termes d’efficacité et de réduction de l’entretien, mais est également un gage de commodité et de sécurité en milieu professionnel.|120112|DONALDSON|1545131200678-99ded6da-6947-42e6-ae59-9f14ed08b56b|DONE
1000813|Camfil|filtre à air / en panneaux / de process / HEPA|Les certaines particules ou molécules arriérées de gaz peuvent s'avérer extrêmement nocives et ont des effets secondaires sérieux, par conséquent son essentiel d'avoir la fabrication propre des semi-conducteurs, des pharmaceutiques et d'autres processus sensibles.<br> <br> Vous devez identifier le bon concept qui se conforme à votre condition pendant que les différents processus exigent différents types nettoyage d'o. Il y a une large variété de filtres disponibles pour adapter à vos besoins selon votre convenance.|120113|Camfil|1545131206190-826a8789-251a-4910-8b74-bf984967828e|DONE
1000814|PowerCore® PSD|filtre à air / en panneaux / compact / haute efficacité|La gamme de filtres à air PSD offre une filtration en deux étapes dans une unité unique et compacte qui assure des performances de filtration supérieures grâce à la technologie de filtration Donaldson PowerCore®. Ce filtre à air non métallique (à l’exception des colliers du couvercle) est idéal pour l’équipement utilisé dans des milieux à poussière moyenne à lourde.|120113|DONALDSON|1545131213471-2a9325ed-d66a-4522-a80a-4d11df02c8cf|DONE
1000815|Parker Hannifin France SAS|filtre à liquide / à gaz / à cartouche / pour applications biopharmaceutiques|Filtres pour la biopharmacie Filtres pour la biopharmacie|120114|Parker|1545131219265-6956b777-06a2-49c9-948b-5eb8c90da893|DONE
1000816|Parker Hannifin France SAS|filtre à gaz / à cartouche / haute performance / stérile|Filtres gaz stérileLes cartouches filtrantes offrent des performances de filtration exceptionnelles tout en fournissant des niveaux élevés de biosécurité.|120114|Parker|1545131223312-4cde10be-e193-4eed-ba56-3a94bca5e97c|DONE
1000817|Camfil|filtre à air / à gaz / à poche / à particules|Les filtres à manches de Camfil ont été conçus pour imprégner l'air ambiant. Il comporte 4 à 12 sacs parallèles qui ont la norme 592 le millimètre X des dimensions de 592 millimètres. Il y a d'autres longueurs et les dimensions une peuvent choisir de, changeant de 300 millimètres jusqu'à 900 millimètres.<br> <br> Ces filtres à manches se composent de fibres en verre ou de polymère d'épaisseur différente. Elle peut également changer du nombre de couches exigées par les besoins opérationnels de clients.|120114|Camfil|1545131228395-b4b22720-02fd-46a3-87e2-558567059572|DONE
1000818|FT series|filtre à air / à eau / à cartouche / en T|Filtres en téFiltres en té avec élément filtrant en inox existent du 1µ au 100µ , 250 et 450 µ optionnels type ""grille"".|120115|Parker|1545131235498-d3f78726-07fa-450c-b44e-dbd086a9f484|DONE
1000819|ABL series|filtre à air / écologique / à particules|Filtres à air ABLFiltres à air écologique de haute capacité de rétention de particules en suspension dans l'air ambiant. Elément filtrant LEIF, respectueux de l'environnement. Débit jusque 2000 l/min.|120115|Parker|1545131240177-a40d8dad-9d0e-4478-a47c-8eeceef6d8e7|DONE
1000820|Parker Hannifin France SAS|filtre à air / à grande capacité / à visser / à particules|Filtres à air Spin On à visserFiltres à air de haute capacité de rétention de particules en suspension dans l'air ambiant. Elément filtrant de 5 ou 3 microns. Débit jusque 3 000 l/min.|120115|Parker|1545131245079-f5e9ba33-55a3-45ba-888b-dcf966153061|DONE
1000821|Camfil|filtre à air / en panneaux / de process / HEPA|Les certaines particules ou molécules arriérées de gaz peuvent s'avérer extrêmement nocives et ont des effets secondaires sérieux, par conséquent son essentiel d'avoir la fabrication propre des semi-conducteurs, des pharmaceutiques et d'autres processus sensibles.<br> <br> Vous devez identifier le bon concept qui se conforme à votre condition pendant que les différents processus exigent différents types nettoyage d'o. Il y a une large variété de filtres disponibles pour adapter à vos besoins selon votre convenance.|120115|Camfil|1545131251250-b32fd9f5-db3b-4f5e-b82f-f30a9dcb7b93|DONE
1000822|PowerCore® SVU series|filtre à air / à cartouche / à sac / d'évent|<br> Solution de filtration par ventilation pour silos plus compacte et intelligente<br> <br> L’unité de décompression de silos ne répond pas seulement aux besoins en termes d’efficacité et de réduction de l’entretien, mais est également un gage de commodité et de sécurité en milieu professionnel.|120115|DONALDSON|1545131256459-08cb3aa0-6c60-40fe-a804-e6846410d0a2|DONE
1000823|Camfil|unité de filtration à air|Camfil offre des systèmes de retenue, Cambox se composant, systèmes d'un seul bloc, CamSafe 2 et CamContain. Ces systèmes offrent la sûreté et la protection en fournissant la retenue du sujet dangereux pour les personnes et l'environnement. La chaîne des systèmes de retenue de Camfil approprié particulièrement pour l'usage dans la bio sûreté, produit chimique, pharmaceutique, des militaires et d'autres applications.|120116|Camfil|1545131263148-02a5a4fb-c095-4b6e-aa99-2d63251b6443|DONE
